	SP
1h_AUC_TNF=0.2_19	0.3333333333333333
1h_AUC_TNF=0.2_2	1.0
1h_AUC_TNF=0.2_20	0.6666666666666666
1h_AUC_TNF=0.2_21	0.5555555555555556
1h_AUC_TNF=0.2_22	0.2222222222222222
1h_AUC_TNF=0.2_23	0.4444444444444444
1h_AUC_TNF=0.2_24	0.8888888888888888
1h_AUC_TNF=0.2_25	0.8888888888888888
1h_AUC_TNF=0.2_26	0.7777777777777778
1h_AUC_TNF=0.2_27	0.4444444444444444
1h_AUC_TNF=0.2_28	0.8888888888888888
1h_AUC_TNF=0.2_29	0.8888888888888888
1h_AUC_TNF=0.2_3	0.7777777777777778
1h_AUC_TNF=0.2_30	0.8888888888888888
1h_AUC_TNF=0.2_31	0.7777777777777778
1h_AUC_TNF=0.2_32	0.7777777777777778
1h_AUC_TNF=0.2_33	0.2222222222222222
1h_AUC_TNF=0.2_34	0.3333333333333333
1h_AUC_TNF=0.2_35	0.2222222222222222
1h_AUC_TNF=0.2_36	0.5555555555555556
1h_AUC_TNF=0.2_4	0.4444444444444444
1h_AUC_TNF=0.2_5	0.3333333333333333
1h_AUC_TNF=0.2_6	0.3333333333333333
1h_AUC_TNF=0.2_7	0.6666666666666666
1h_AUC_TNF=0.2_8	0.3333333333333333
1h_AUC_TNF=0.2_9	0.8888888888888888
1h_AUC_TNF=200_1	0.6666666666666666
1h_AUC_TNF=200_10	0.6666666666666666
1h_AUC_TNF=200_11	0.6666666666666666
1h_AUC_TNF=200_12	0.6666666666666666
1h_AUC_TNF=200_13	0.6666666666666666
1h_AUC_TNF=200_14	0.8888888888888888
1h_AUC_TNF=200_15	1.0
1h_AUC_TNF=200_16	0.8888888888888888
1h_AUC_TNF=200_17	1.0
1h_AUC_TNF=200_18	1.0
1h_AUC_TNF=200_19	0.2222222222222222
1h_AUC_TNF=200_2	0.8888888888888888
1h_AUC_TNF=200_20	0.5555555555555556
1h_AUC_TNF=200_21	0.6666666666666666
1h_AUC_TNF=200_22	0.2222222222222222
1h_AUC_TNF=200_23	0.4444444444444444
1h_AUC_TNF=200_24	0.8888888888888888
1h_AUC_TNF=200_25	0.8888888888888888
1h_AUC_TNF=200_26	0.7777777777777778
1h_AUC_TNF=200_27	0.3333333333333333
1h_AUC_TNF=200_28	0.7777777777777778
1h_AUC_TNF=200_29	0.7777777777777778
1h_AUC_TNF=200_3	0.7777777777777778
1h_AUC_TNF=200_30	0.7777777777777778
1h_AUC_TNF=200_31	0.7777777777777778
1h_AUC_TNF=200_32	0.7777777777777778
1h_AUC_TNF=200_33	0.2222222222222222
1h_AUC_TNF=200_34	0.6666666666666666
1h_AUC_TNF=200_35	0.5555555555555556
1h_AUC_TNF=200_36	0.8888888888888888
1h_AUC_TNF=200_4	0.3333333333333333
