	SP
120m_AUC_EGF=0.001+I=10_44	0.9230769230769231
120m_AUC_EGF=0.001+I=10_45	0.9230769230769231
120m_AUC_EGF=0.001+I=10_46	0.9230769230769231
120m_AUC_EGF=0.001+I=10_47	0.9230769230769231
120m_AUC_EGF=0.001+I=10_48	0.6153846153846154
120m_AUC_EGF=0.001+I=10_49	0.8461538461538461
120m_AUC_EGF=0.001+I=10_5	0.9230769230769231
120m_AUC_EGF=0.001+I=10_50	1.0
120m_AUC_EGF=0.001+I=10_51	0.9230769230769231
120m_AUC_EGF=0.001+I=10_52	0.9230769230769231
120m_AUC_EGF=0.001+I=10_53	0.8461538461538461
120m_AUC_EGF=0.001+I=10_54	0.8461538461538461
120m_AUC_EGF=0.001+I=10_55	0.9230769230769231
120m_AUC_EGF=0.001+I=10_56	0.9230769230769231
120m_AUC_EGF=0.001+I=10_57	0.9230769230769231
120m_AUC_EGF=0.001+I=10_58	0.8461538461538461
120m_AUC_EGF=0.001+I=10_59	0.9230769230769231
120m_AUC_EGF=0.001+I=10_6	0.9230769230769231
120m_AUC_EGF=0.001+I=10_60	0.9230769230769231
120m_AUC_EGF=0.001+I=10_61	0.6923076923076923
120m_AUC_EGF=0.001+I=10_62	0.6153846153846154
120m_AUC_EGF=0.001+I=10_63	0.6923076923076923
120m_AUC_EGF=0.001+I=10_64	0.6923076923076923
120m_AUC_EGF=0.001+I=10_65	0.6923076923076923
120m_AUC_EGF=0.001+I=10_66	1.0
120m_AUC_EGF=0.001+I=10_7	0.9230769230769231
120m_AUC_EGF=0.001+I=10_8	0.5384615384615384
120m_AUC_EGF=0.001+I=10_9	0.6923076923076923
120m_AUC_EGF=0.001+I=1_1	1.0
120m_AUC_EGF=0.001+I=1_10	0.6153846153846154
120m_AUC_EGF=0.001+I=1_11	0.46153846153846156
120m_AUC_EGF=0.001+I=1_12	1.0
120m_AUC_EGF=0.001+I=1_13	0.8461538461538461
120m_AUC_EGF=0.001+I=1_14	0.46153846153846156
120m_AUC_EGF=0.001+I=1_15	1.0
120m_AUC_EGF=0.001+I=1_16	1.0
120m_AUC_EGF=0.001+I=1_17	1.0
120m_AUC_EGF=0.001+I=1_18	0.9230769230769231
120m_AUC_EGF=0.001+I=1_19	0.9230769230769231
120m_AUC_EGF=0.001+I=1_2	1.0
120m_AUC_EGF=0.001+I=1_20	0.7692307692307693
120m_AUC_EGF=0.001+I=1_21	0.6153846153846154
120m_AUC_EGF=0.001+I=1_22	0.8461538461538461
120m_AUC_EGF=0.001+I=1_23	0.6923076923076923
120m_AUC_EGF=0.001+I=1_24	1.0
120m_AUC_EGF=0.001+I=1_25	1.0
120m_AUC_EGF=0.001+I=1_26	0.8461538461538461
120m_AUC_EGF=0.001+I=1_27	0.7692307692307693
120m_AUC_EGF=0.001+I=1_28	0.7692307692307693
120m_AUC_EGF=0.001+I=1_29	0.6923076923076923
120m_AUC_EGF=0.001+I=1_3	0.8461538461538461
120m_AUC_EGF=0.001+I=1_30	0.6153846153846154
120m_AUC_EGF=0.001+I=1_31	0.9230769230769231
120m_AUC_EGF=0.001+I=1_32	0.7692307692307693
120m_AUC_EGF=0.001+I=1_33	0.9230769230769231
120m_AUC_EGF=0.001+I=1_34	0.9230769230769231
120m_AUC_EGF=0.001+I=1_35	0.8461538461538461
120m_AUC_EGF=0.001+I=1_36	0.9230769230769231
120m_AUC_EGF=0.001+I=1_37	0.9230769230769231
120m_AUC_EGF=0.001+I=1_38	0.9230769230769231
120m_AUC_EGF=0.001+I=1_39	1.0
120m_AUC_EGF=0.001+I=1_4	1.0
120m_AUC_EGF=0.001+I=1_40	1.0
120m_AUC_EGF=0.001+I=1_41	1.0
120m_AUC_EGF=0.001+I=1_42	0.6923076923076923
120m_AUC_EGF=0.001+I=1_43	0.6923076923076923
120m_AUC_EGF=0.001+I=1_44	0.6153846153846154
120m_AUC_EGF=0.001+I=1_45	0.46153846153846156
120m_AUC_EGF=0.001+I=1_46	1.0
120m_AUC_EGF=0.001+I=1_47	1.0
120m_AUC_EGF=0.001+I=1_48	0.9230769230769231
120m_AUC_EGF=0.001+I=1_49	0.9230769230769231
