,KORKUT_2015A
192,0.5077839447678354
193,0.5077839447678354
194,0.5141464735345878
195,0.5083254365777717
196,0.5079193177203195
197,0.5087315554352241
198,0.507242452957899
199,0.49370515770948964
200,0.4993908217138216
201,0.500067686476242
202,0.5020982807635035
203,0.5011506700961148
204,0.5092730472451604
205,0.5062948422905104
206,0.5043996209557331
207,0.49966156761878977
208,0.5062948422905104
209,0.51157438743739
210,0.5136049817246514
211,0.5191552727764993
212,0.5138757276296196
213,0.5122512521998105
214,0.5178015432516583
215,0.5179369162041424
216,0.5171246784892378
217,0.5156355760119128
218,0.5184784080140787
219,0.5211858670637607
220,0.5103560308650331
221,0.5002030594287261
222,0.5152294571544606
223,0.5136049817246514
224,0.5107621497224855
225,0.5167185596317856
226,0.5138757276296196
227,0.5126573710572627
228,0.5077839447678354
229,0.5080546906728036
230,0.5079193177203195
231,0.5198321375389198
232,0.5136049817246514
233,0.5087315554352241
234,0.5134696087721673
235,0.5088669283877081
236,0.5091376742926763
237,0.5084608095302559
238,0.5108975226749696
239,0.5048057398131853
240,0.5045349939082171
241,0.5131988628671992
242,0.5020982807635035
243,0.5043996209557331
244,0.49952619466630566
245,0.4993908217138216
246,0.5018275348585353
247,0.5056179775280899
248,0.51157438743739
249,0.5148233382970082
250,0.5079193177203195
251,0.510085284960065
252,0.5019629078110194
253,0.5006091782861785
254,0.5184784080140787
255,0.51157438743739
256,0.5077839447678354
257,0.5031812643833762
258,0.5126573710572627
259,0.5169893055367537
260,0.515906321916881
261,0.5206443752538242
262,0.5237579531609584
263,0.5167185596317856
264,0.5075131988628672
265,0.5020982807635035
266,0.5080546906728036
267,0.5048057398131853
268,0.505753350480574
269,0.5016921619060511
270,0.49830783809394885
271,0.5065655881954786
272,0.5137403546771355
273,0.5125219981047787
274,0.5049411127656694
275,0.5123866251522946
276,0.5194260186814674
277,0.5156355760119128
278,0.5219981047786653
279,0.5293082442128063
280,0.5256531744957358
281,0.5295789901177744
282,0.5293082442128063
283,0.5378367402193042
284,0.5313388385000677
285,0.5301204819277109
286,0.5271422769730608
287,0.5233518343035062
288,0.5225395965886016
289,0.5301204819277109
290,0.5298497360227427
291,0.5295789901177744
292,0.5359415188845269
293,0.5313388385000677
294,0.5270069040205767
295,0.533098686882361
296,0.5456883714633817
297,0.5302558548801949
298,0.5282252605929335
299,0.5287667524028699
300,0.5299851089752268
301,0.5340462975497495
302,0.5306619737376472
303,0.5188845268715311
304,0.5183430350615947
305,0.5168539325842697
306,0.5114390144849059
307,0.51157438743739
308,0.5110328956274537
309,0.5080546906728036
310,0.5076485718153513
311,0.5168539325842697
312,0.5214566129687288
313,0.5199675104914038
314,0.5201028834438879
315,0.5196967645864357
316,0.5150940842019764
317,0.5108975226749696
318,0.5108975226749696
319,0.5071070800054149
320,0.50859618248274
321,0.5111682685799377
322,0.517395424394206
323,0.5064302152429945
324,0.5054826045756058
325,0.505753350480574
326,0.5012860430485989
327,0.5075131988628672
328,0.5049411127656694
329,0.5067009611479626
330,0.517395424394206
331,0.5155002030594287
332,0.5137403546771355
333,0.5195613916339515
334,0.5238933261134425
335,0.5203736293488561
336,0.5179369162041424
337,0.5299851089752268
338,0.5255178015432517
339,0.5236225802084743
340,0.5203736293488561
341,0.5214566129687288
342,0.5248409367808312
343,0.5215919859212129
344,0.5087315554352241
345,0.5195613916339515
346,0.5140111005821036
347,0.5150940842019764
348,0.5184784080140787
349,0.5184784080140787
350,0.5054826045756058
351,0.5184784080140787
352,0.5095437931501287
353,0.5033166373358603
354,0.5033166373358603
355,0.5048057398131853
356,0.4957357519967511
357,0.4945173954243942
