,NELANDER_2008
231,0.4708994708994709
232,0.4021164021164021
233,0.4021164021164021
234,0.4074074074074074
235,0.4973544973544973
236,0.4603174603174603
237,0.4497354497354497
238,0.5026455026455027
239,0.4603174603174603
240,0.43915343915343913
241,0.3968253968253968
242,0.43386243386243384
243,0.4021164021164021
244,0.4656084656084656
245,0.43915343915343913
246,0.4603174603174603
247,0.4973544973544973
248,0.43915343915343913
249,0.4603174603174603
250,0.4656084656084656
251,0.43915343915343913
252,0.4497354497354497
253,0.4603174603174603
254,0.4497354497354497
255,0.48677248677248675
256,0.48148148148148145
257,0.4603174603174603
258,0.4444444444444444
259,0.48677248677248675
260,0.4126984126984127
261,0.47619047619047616
262,0.43915343915343913
263,0.4708994708994709
264,0.4497354497354497
265,0.43915343915343913
266,0.4656084656084656
267,0.5132275132275133
268,0.4603174603174603
269,0.5396825396825397
270,0.582010582010582
271,0.6084656084656085
272,0.5238095238095238
273,0.49206349206349204
274,0.4973544973544973
275,0.48677248677248675
276,0.5132275132275133
277,0.5343915343915344
278,0.4656084656084656
279,0.5079365079365079
280,0.47619047619047616
281,0.47619047619047616
282,0.4973544973544973
283,0.49206349206349204
284,0.4497354497354497
285,0.48148148148148145
286,0.43386243386243384
287,0.43386243386243384
288,0.4708994708994709
289,0.48148148148148145
290,0.49206349206349204
291,0.49206349206349204
292,0.5555555555555556
293,0.5238095238095238
294,0.5026455026455027
295,0.582010582010582
296,0.6084656084656085
297,0.5502645502645502
298,0.5555555555555556
299,0.5502645502645502
300,0.5132275132275133
301,0.5291005291005291
302,0.5396825396825397
303,0.5608465608465608
304,0.4603174603174603
305,0.4603174603174603
306,0.4497354497354497
307,0.4708994708994709
308,0.5026455026455027
309,0.43915343915343913
310,0.41798941798941797
311,0.36507936507936506
312,0.3439153439153439
313,0.3333333333333333
314,0.3386243386243386
315,0.3544973544973545
316,0.42857142857142855
317,0.4444444444444444
318,0.4126984126984127
319,0.4603174603174603
320,0.4603174603174603
321,0.4973544973544973
322,0.5026455026455027
323,0.49206349206349204
324,0.4603174603174603
325,0.5079365079365079
326,0.43915343915343913
327,0.4126984126984127
328,0.42857142857142855
329,0.4603174603174603
330,0.4973544973544973
331,0.41798941798941797
332,0.4126984126984127
333,0.4126984126984127
334,0.43386243386243384
335,0.43386243386243384
336,0.4021164021164021
337,0.42857142857142855
338,0.42857142857142855
339,0.5291005291005291
340,0.48677248677248675
341,0.5396825396825397
342,0.5343915343915344
343,0.544973544973545
344,0.5291005291005291
345,0.5291005291005291
346,0.5555555555555556
347,0.5343915343915344
348,0.5714285714285714
349,0.582010582010582
350,0.5661375661375662
351,0.48677248677248675
352,0.4126984126984127
353,0.4444444444444444
354,0.47619047619047616
355,0.5291005291005291
356,0.5343915343915344
357,0.5185185185185185
358,0.5132275132275133
359,0.4973544973544973
360,0.582010582010582
361,0.4973544973544973
362,0.4973544973544973
363,0.5238095238095238
364,0.49206349206349204
365,0.48148148148148145
366,0.4603174603174603
367,0.4973544973544973
368,0.5873015873015873
369,0.5873015873015873
370,0.6190476190476191
371,0.5396825396825397
372,0.5238095238095238
373,0.5185185185185185
374,0.5343915343915344
375,0.544973544973545
376,0.5978835978835979
377,0.5079365079365079
378,0.5026455026455027
379,0.5079365079365079
380,0.4656084656084656
381,0.4497354497354497
382,0.4126984126984127
383,0.3968253968253968
384,0.3915343915343915
385,0.48148148148148145
386,0.4708994708994709
387,0.5343915343915344
388,0.5185185185185185
389,0.544973544973545
390,0.5291005291005291
391,0.4656084656084656
392,0.4973544973544973
393,0.4603174603174603
394,0.49206349206349204
395,0.5396825396825397
396,0.5079365079365079
397,0.5396825396825397
398,0.5185185185185185
399,0.47619047619047616
400,0.5026455026455027
401,0.5185185185185185
402,0.48677248677248675
403,0.5661375661375662
404,0.5185185185185185
405,0.4973544973544973
406,0.5132275132275133
